country,s,number
Mexico,,19452
Canada,,11667
UK,,2727
France,,1909
Italy,,1848
Germany,,1545
Japan,,1515
Dominican Republic,,1454
Jamiaca,,1424
China,,1182
Spain,,1151
India,,1061
Netherlands,,727
Brazil,,667
Israel,,667
South Korea,,667
Australia,,636
Greece,,606
Ireland,,576
Colombia,,545
Switzerland,,485
Austria,,394
Philippines,,394
Turkey,,394
Thailand,,364
Czech Republic,,333
New Zealand,,333
Cayman Islands,,303
Egypt,,273
South Africa,,273
Russia,,273
Poland,,242
Singapore,,242
Vietnam,,182
Morocco,,121
Malaysia,,121
Indonesia,,121
